task,reef/step,reef/run_step,reef/outcome,rollout/rewards,rollout/kl,rollout/response_lengths,rollout/truncated,train/importance_ratio,train/grad_norm,train/ppo_kl,perf/step_time,perf/train_time,perf/train_wait_time,perf/wait_time_ratio,perf/actor_train_tok_per_s
packing26,11,10,committed,2.1740213341608507,0.0018228903645649552,11778.330078125,0,0.9999855160713196,74748.67800837684,0.0006788047030568123,2554.3526482582092,1021.1031529903412,1533.249495267868,0.6002497330638263,8214.958625042604
packing26,12,11,committed,2.099064676586244,0.001949672237969935,11466.99609375,0,0.9999868869781494,72966.77863247081,0.0006750353495590389,2195.178092479706,992.7611222267151,1202.4169702529907,0.5477537218379956,8260.347789826405
packing26,13,12,committed,2.0396597672665644,0.0018660123459994793,11660.3828125,0,1.000037670135498,66820.74312666689,0.0006286778370849788,2225.7806720733643,1021.3079199790955,1204.4727520942688,0.5411461997161991,8192.811591547692
packing26,14,13,committed,1.7990762656517016,0.0019572318997234106,11390.2578125,0,0.9999863505363464,64565.239936052276,0.0006470875232480466,2279.515854358673,994.7420701980591,1284.773784160614,0.5636169547599293,8225.734156359562
packing26,15,14,committed,1.965166089082554,0.0018503661267459393,11555.966796875,0,1.0000022649765015,89758.14614841374,0.0006145150982774794,2611.9909398555756,1001.9279522895813,1610.0629875659943,0.6164121639928121,8247.104454047525
packing26,16,15,committed,2.2162313565209852,0.001953743165358901,11764.765625,0,0.9999975562095642,63563.181292317335,0.0005949885817244649,2331.9758048057556,1022.6035385131836,1309.372266292572,0.5614862142198073,8207.872699296351
packing26,17,16,committed,2.248879251962398,0.0020111333578824997,11772.177734375,0,1.000013828277588,70596.93183134802,0.0005724853835999966,2140.3988325595856,1011.9538202285767,1128.445012331009,0.527212496645573,8295.38699739019
packing26,18,17,committed,2.2529104099227317,0.00202187173999846,11734.908203125,0,0.9999872446060181,67067.24410619539,0.0005846892599947751,2303.696694135666,1013.7012252807617,1289.9954688549042,0.559967582598326,8262.442764669053
packing26,19,18,committed,2.1717526381323413,0.001909187762066722,11697.478515625,0,1.0000091791152954,86932.05070628438,0.0005760232452303171,2375.454487800598,1013.2552442550659,1362.1992435455322,0.5734478393676885,8231.692358514347
packing26,20,19,committed,2.2036093507545624,0.0018255612812936306,11726.92578125,0,0.9999918937683105,63591.44797848214,0.0006006487528793514,2293.7354657649994,1015.8968691825867,1277.8385965824127,0.5570993759545119,8233.662295012153
packing26,21,20,committed,1.8024899759743669,0.0005937588284723461,11514.287109375,0,0.9999988079071045,58863.04538502914,0.0018937571439892054,2420.9019153118134,1005.364114522934,1415.5378007888794,0.5847150567463438,8295.487166229006
packing26,22,21,committed,1.638398102827355,0.0006103601772338152,11342.62109375,0,0.9999666810035706,52970.91126269209,0.0020926499273627996,4916.0780375003815,962.7067584991455,3953.371279001236,0.804171790773964,8454.314582653855
packing26,23,22,committed,1.726668957138155,0.0006389055633917451,11476.10546875,0,0.999952495098114,58648.67166441197,0.0022568805143237114,2450.68798494339,988.8855686187744,1461.8024163246155,0.5964865479839461,8365.022585634522
packing26,24,23,committed,1.7385150856473104,0.0006098619196563959,11534.1171875,0,0.9999957084655762,58553.36355838151,0.00247105467133224,2228.9166514873505,985.5122857093811,1243.4043657779694,0.5578514409447517,8396.118675653719
packing26,25,24,committed,1.6432911748352206,0.0005914288922213018,11520.576171875,0,0.999965488910675,54443.756519916955,0.002862341934815049,2139.437110185623,981.2338733673096,1158.2032368183136,0.5413588608443951,8408.3849488895
packing26,26,25,committed,1.6655306839913226,0.0006228791899047792,11414.984375,0,0.999980628490448,56006.358496156485,0.0032238431740552187,2262.3924748897552,971.7681906223297,1290.6242842674255,0.5704687840823537,8421.671810086578
packing26,27,26,committed,1.6254844766630256,0.0005951489438302815,11209.259765625,0,0.9999290704727173,62949.50255561993,0.0037953571882098913,2407.111941576004,954.3823976516724,1452.7295439243317,0.6035155735105484,8437.061269193468
packing26,28,27,committed,1.7203706714713385,0.0006145978113636374,11192.390625,0,1.0000312328338623,56031.24157110924,0.004217168781906366,2156.7413132190704,949.569860458374,1207.1714527606964,0.5597200950163643,8491.787822781558
